Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,94.44/Kg,95.00/Kg,1800.00,Nakuru,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Kabati - Muranga,95.00/Kg,120.00/Kg,,Muranga,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Ahero,115.00/Kg,125.00/Kg,630.00,Kisumu,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Soko mpya,77.78/Kg,100.00/Kg,700.00,Nyandarua,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Akala,100.00/Kg,125.00/Kg,300.00,Siaya,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Chaka,94.44/Kg,120.00/Kg,1670.00,Nyeri,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Kangemi Market,93.33/Kg,120.00/Kg,,Nairobi,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Embu Town,105.56/Kg,120.00/Kg,1500.00,Embu,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Cheptiret - Uasin Gishu,95.00/Kg,110.00/Kg,2000.00,Uasin-Gishu,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Engineer,93.33/Kg,130.00/Kg,2000.00,Nyandarua,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Mukuyu Market,100.00/Kg,130.00/Kg,,Muranga,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,97.78/Kg,120.00/Kg,,Nairobi,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Kitengela,93.33/Kg,100.00/Kg,3500.00,Kajiado,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Maua,88.89/Kg,120.00/Kg,1800.00,Meru,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Engineer,93.33/Kg,130.00/Kg,900.00,Nyandarua,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Keumbu,72.00/Kg,88.00/Kg,450.00,Kisii,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Bondo,115.56/Kg,150.00/Kg,7000.00,Siaya,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Nyahururu Municipal Market,91.11/Kg,95.00/Kg,30000.00,Laikipia,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Orolwo,92.00/Kg,100.00/Kg,220.00,West-Pokot,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Kitale Municipality Market,110.00/Kg,130.00/Kg,200.00,Trans-Nzoia,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Stadium - Kitale,72.22/Kg,110.00/Kg,,Trans-Nzoia,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Kapsabet Market,96.00/Kg,112.00/Kg,4500.00,Nandi,2022-07-19
